,country,name,full_name,isin,currency,symbol
214,spain,Excem Socimi,Excem Capital Partners Sociedad de Inversión Residencial,ES0105367009,EUR,YEXR
215,spain,Castellana Properties,Castellana Properties Socimi,ES0105360004,EUR,YCPS
216,spain,Testa Residencial,Testa Residencial Socimi,ES0105210019,EUR,YTST
217,spain,Berkeley Energy,Berkeley Energia Ltd,AU000000BKY0,EUR,BKY
218,spain,Alquiber Quality,Alquiber Quality SA,ES0105366001,EUR,ALQ
219,spain,Go Madrid Benz,Go Madrid Benz Socimi SA,ES0105354007,EUR,YGOB
220,spain,Arima Real Estate,Arima Real Estate SOCIMI SA,ES0105376000,EUR,ARM
221,spain,Amrest,Amrest Holdings SE,ES0105375002,EUR,EATP
222,spain,Atom Hoteles,Atom Hoteles Socimi,ES0105318002,EUR,YATO
223,spain,Solarpack,Solarpack Corporacion Tecnologica SA,ES0105385001,EUR,SPK
224,spain,Arrienda Rental,Arrienda Rental Properties SOCIMI SA,ES0105383006,EUR,YARP
225,spain,Vivenio Residencial,Vivenio Residencial Socimi SA,ES0105384004,EUR,YVIV
226,spain,Almagro Capital,Almagro Capital Socimi,ES0105389003,EUR,YAC1
227,spain,Inmobiliaria Park Rose,Inmobiliaria Park Rose Iberoamericana SOCIMI SA,ES0105391009,EUR,YPARK
228,spain,Euripo Properties,Euripo Properties Socimi,ES0105387007,EUR,YEPS
229,spain,Proeduca Altus,Proeduca Altus SA,ES0105400008,EUR,PROE
230,spain,Meridia RE III,Meridia Real Estate III Socimi SA,ES0105313003,EUR,YMRE
231,spain,Iffe Futura,Iffe Futura SA,ES0171613005,EUR,IFFE
232,spain,Viviendas en Alquiler,Compania Espanola de Viviendas en Alquiler SA,ES0132955008,EUR,CEV
233,spain,Millenium Hotels,Millenium Hotels Real Estate SA,ES0105407003,EUR,YMHRE
