Index Name,Date,Open,High,Low,Close
NIFTY 50,29-Sep-03,1386.9,1422.35,1386.1,1399.95
NIFTY 50,30-Sep-03,1400.7,1418.1,1399.8,1417.1
NIFTY 50,01-Oct-03,1416.6,1430.9,1407.95,1420.85
NIFTY 50,03-Oct-03,1420.85,1451.2,1420.85,1449.3
NIFTY 50,06-Oct-03,1449.45,1481.05,1423.75,1478.9
NIFTY 50,07-Oct-03,1478.95,1498.45,1467.75,1477.85
NIFTY 50,08-Oct-03,1477.85,1493.05,1460.6,1478.6
NIFTY 50,09-Oct-03,1487.85,1505.05,1478.4,1502.1
NIFTY 50,10-Oct-03,1507.1,1527.25,1505.1,1523.1
NIFTY 50,13-Oct-03,1523.35,1550.9,1516.05,1546.75
NIFTY 50,14-Oct-03,1548.7,1562.85,1513.75,1520.8
NIFTY 50,15-Oct-03,1521.45,1543.85,1503,1537
NIFTY 50,16-Oct-03,1537.3,1563.4,1537.3,1555.7
NIFTY 50,17-Oct-03,1565.2,1574.1,1552.15,1569.45
NIFTY 50,20-Oct-03,1569.7,1574.1,1536.5,1542.7
NIFTY 50,21-Oct-03,1546.2,1549.65,1496.95,1506.5
NIFTY 50,22-Oct-03,1506.75,1522.65,1483,1494.1
NIFTY 50,23-Oct-03,1494.75,1503,1466.25,1470.45
NIFTY 50,24-Oct-03,1485.8,1512.55,1434.75,1506.05
NIFTY 50,25-Oct-03,1506.05,1533.05,1506.05,1521.95
NIFTY 50,27-Oct-03,1522.05,1524.05,1482,1485.3
NIFTY 50,28-Oct-03,1485.45,1500.8,1471.3,1481.75
NIFTY 50,29-Oct-03,1481.3,1501.7,1477.1,1498.45
NIFTY 50,30-Oct-03,1499.25,1524.25,1495.8,1516.85
NIFTY 50,31-Oct-03,1517.1,1559.75,1515.55,1555.9
NIFTY 50,03-Nov-03,1556.5,1605.6,1556.5,1601.65
NIFTY 50,04-Nov-03,1601.3,1626.4,1601.3,1618.7
NIFTY 50,05-Nov-03,1618.7,1627.6,1592.55,1609.15
NIFTY 50,06-Nov-03,1610.55,1630.25,1605.4,1612.2
NIFTY 50,07-Nov-03,1612.1,1624.5,1585.35,1592.05
NIFTY 50,10-Nov-03,1603.55,1603.65,1568.1,1594.5
NIFTY 50,11-Nov-03,1594.5,1608.85,1590.95,1601.15
NIFTY 50,12-Nov-03,1601.3,1617.75,1598,1603.8
NIFTY 50,13-Nov-03,1610.4,1616.15,1573.6,1579.95
NIFTY 50,14-Nov-03,1577.2,1580.3,1544.75,1550.45
NIFTY 50,15-Nov-03,1549.65,1571.3,1542,1562.8
NIFTY 50,17-Nov-03,1563.1,1584.75,1554.4,1579.9
NIFTY 50,18-Nov-03,1579.15,1591.25,1557.2,1564.4
NIFTY 50,19-Nov-03,1563.95,1564,1534.35,1540.6
NIFTY 50,20-Nov-03,1542.85,1558.15,1517.9,1522.3
NIFTY 50,21-Nov-03,1520.4,1547,1509.15,1540.7
NIFTY 50,24-Nov-03,1541.35,1554.05,1536.5,1543.9
NIFTY 50,25-Nov-03,1543.95,1572.05,1543.95,1568.65
NIFTY 50,27-Nov-03,1568.85,1602.6,1568.7,1598.35
NIFTY 50,28-Nov-03,1598.55,1618.95,1598.55,1615.25
NIFTY 50,01-Dec-03,1615.85,1660.55,1615.7,1657.65
NIFTY 50,02-Dec-03,1657.65,1671.85,1639.65,1658.5
NIFTY 50,03-Dec-03,1660.7,1676.2,1655.9,1670.5
NIFTY 50,04-Dec-03,1670.65,1683.75,1656.1,1675.2
NIFTY 50,05-Dec-03,1675.5,1688.25,1642.05,1645.8
NIFTY 50,08-Dec-03,1644.85,1654.35,1631.85,1646.25
NIFTY 50,09-Dec-03,1646.4,1677.9,1646.4,1675.85
NIFTY 50,10-Dec-03,1675.75,1697.3,1672.65,1686.9
NIFTY 50,11-Dec-03,1688.35,1701.7,1678.35,1695.4
NIFTY 50,12-Dec-03,1695.8,1705.95,1686.45,1698.9
NIFTY 50,15-Dec-03,1699.7,1728,1699.7,1723.95
NIFTY 50,16-Dec-03,1723.9,1740.3,1711.3,1736.25
NIFTY 50,17-Dec-03,1736.35,1746.2,1725.4,1733.25
NIFTY 50,18-Dec-03,1733.2,1759,1725.85,1756.1
NIFTY 50,19-Dec-03,1757,1783.7,1755.4,1778.55
NIFTY 50,22-Dec-03,1778.85,1794.3,1778.4,1789.15
NIFTY 50,23-Dec-03,1789.1,1800.9,1751.05,1780.3
NIFTY 50,24-Dec-03,1788.45,1815.6,1780.3,1808.7
NIFTY 50,26-Dec-03,1804.7,1840.35,1804.7,1837.05
NIFTY 50,29-Dec-03,1838.05,1876,1837.65,1874.05
NIFTY 50,30-Dec-03,1878.9,1914.4,1858.55,1873.25
NIFTY 50,31-Dec-03,1868.9,1895.65,1852.5,1879.75
NIFTY 50,01-Jan-04,1880.35,1917.05,1880.35,1912.25
NIFTY 50,02-Jan-04,1912.25,1951.7,1911.05,1946.05
NIFTY 50,05-Jan-04,1946.3,1969.2,1930.75,1955
NIFTY 50,06-Jan-04,1955.1,1979.05,1908.75,1926.7
NIFTY 50,07-Jan-04,1927.95,1930.95,1888.1,1916.75
NIFTY 50,08-Jan-04,1918.1,1973.45,1918.1,1968.55
NIFTY 50,09-Jan-04,1969,2014.65,1957.45,1971.9
NIFTY 50,12-Jan-04,1972,1980.55,1936.75,1945.6
NIFTY 50,13-Jan-04,1944.7,1967.85,1926.1,1963.6
NIFTY 50,14-Jan-04,1987.4,1995.2,1970.1,1982.15
NIFTY 50,15-Jan-04,1983.2,2000.3,1933.25,1944.45
NIFTY 50,16-Jan-04,1944.15,1953.05,1887.1,1900.65
NIFTY 50,19-Jan-04,1901.9,1943.1,1874.95,1935.35
NIFTY 50,20-Jan-04,1928.8,1957.65,1876.85,1893.25
NIFTY 50,21-Jan-04,1895.45,1899.55,1811.35,1824.6
NIFTY 50,22-Jan-04,1824.7,1854.55,1756.25,1770.5
NIFTY 50,23-Jan-04,1771.1,1858.5,1771.1,1847.55
NIFTY 50,27-Jan-04,1847.9,1911.3,1844.65,1904.7
NIFTY 50,28-Jan-04,1903.9,1918.45,1846.35,1863.1
NIFTY 50,29-Jan-04,1863,1883.1,1827.25,1843.6
NIFTY 50,30-Jan-04,1843.7,1860.4,1804.3,1809.75
NIFTY 50,03-Feb-04,1809.3,1815.95,1755.65,1769
NIFTY 50,04-Feb-04,1769.1,1829.65,1761.75,1822.2
NIFTY 50,05-Feb-04,1823.5,1846.75,1787.15,1804.5
NIFTY 50,06-Feb-04,1804.35,1837.95,1797.95,1833.65
NIFTY 50,09-Feb-04,1834.9,1885.2,1833.05,1880.7
NIFTY 50,10-Feb-04,1880.85,1897,1861.65,1880.75
NIFTY 50,11-Feb-04,1891.8,1894.8,1874.5,1891.5
NIFTY 50,12-Feb-04,1892.2,1906.1,1869.25,1885.3
NIFTY 50,13-Feb-04,1875.6,1916.2,1873.25,1913.6
NIFTY 50,16-Feb-04,1914.45,1929.5,1909.45,1913.55
NIFTY 50,17-Feb-04,1913.55,1926.15,1905.5,1920.1
