,date,instrument,ROE,Free_Cash_Flow,PE_TTM,market_cap,amount,open,close
223821,2022/11/2,002709.SZA,47.8025,140897808,17.026396,85389399327,1145925664,617.7408,622.23346
223822,2022/11/3,002709.SZA,47.8025,140897808,17.072496,85620598062,792823737,617.7408,623.91815
223823,2022/11/4,002709.SZA,47.8025,140897808,18.290314,91728097968,2189149399,625.8837,668.4236
223824,2022/11/7,002709.SZA,47.8025,140897808,18.782051,94194217805,2122579964,675.0222,686.3942
223825,2022/11/8,002709.SZA,47.8025,140897808,19.058653,95581410212,2429400862,699.02985,696.50275
223826,2022/11/9,002709.SZA,47.8025,140897808,18.785892,94213484366,1242832540,696.3623,686.5346
223827,2022/11/10,002709.SZA,47.8025,140897808,18.109755,90822569591,1183993435,680.9188,661.825
223828,2022/11/11,002709.SZA,47.8025,140897808,18.413248,92344627927,1219401040,683.0247,672.91626
223829,2022/11/14,002709.SZA,47.8025,140897808,17.767843,89107845643,1224544668,672.91626,649.3298
223830,2022/11/15,002709.SZA,47.8025,140897808,18.244213,91496899234,1073823167,646.6623,666.73883
223831,2022/11/16,002709.SZA,47.8025,140897808,17.871569,89628042795,648596913,664.21173,653.1205
223832,2022/11/17,002709.SZA,47.8025,140897808,17.356783,87046323592,1244661132,650.73376,634.30743
223833,2022/11/18,002709.SZA,47.8025,140897808,17.176222,86140795215,827208730,631.78033,627.70886
223834,2022/11/21,002709.SZA,47.8025,140897808,17.253056,86526126439,814336585,627.5685,630.5168
223835,2022/11/22,002709.SZA,47.8025,140897808,16.861204,84560937195,913035044,631.78033,616.1964
223836,2022/11/23,002709.SZA,47.8025,140897808,17.018713,85350866205,763602443,615.7752,621.95264
223837,2022/11/24,002709.SZA,47.8025,140897808,17.606493,88298650071,1575794910,630.0956,643.43317
223838,2022/11/25,002709.SZA,47.8025,140897808,16.934196,84927001858,942031383,637.8173,618.86395
223839,2022/11/28,002709.SZA,47.8025,140897808,16.638386,83443476644,808659969,604.2628,608.05347
