"month","year","month_number","start_date","end_date","bank_name","no_atms_on_site","no_atms_off_site","no_pos_on_line","no_pos_off_line","no_credit_cards","no_credit_card_atm_txn","no_credit_card_pos_txn","no_credit_card_atm_txn_value_in_mn","no_credit_card_pos_txn_value_in_mn","no_debit_cards","no_debit_card_atm_txn","no_debit_card_pos_txn","no_debit_card_atm_txn_value_in_mn","no_debit_card_pos_txn_value_in_mn"
"September","2011",9,2011-09-01,2011-09-30,"Tamilnadu Mercantile Bank Ltd.",137,86,0,17,5482,0,4473,0,10.4,714208,854434,16936,3402.1,42.1
"September","2011",9,2011-09-01,2011-09-30,"Development Credit Bank Ltd.",85,55,808,0,0,0,0,0,0,225381,347720,27851,1162.7,47.3
"September","2011",9,2011-09-01,2011-09-30,"HDFC  Bank Ltd.",3222,3298,149950,0,5374542,56990,6248345,341.774,19994.2,14138219,22415249,5270180,90842.4,7450.24
"September","2011",9,2011-09-01,2011-09-30,"ICICI Bank Ltd.",2943,3970,138524,4133,3025176,8346,4230492,44.443,9598.16,16231163,23600035,4335292,100026,6881.49
"September","2011",9,2011-09-01,2011-09-30,"IndusInd Bank Ltd",323,343,90,0,187149,553,255063,3.2,1003.2,747353,915757,103714,3234.3,182.4
"September","2011",9,2011-09-01,2011-09-30,"Kotak Mahindra Bank Ltd",309,446,0,0,182947,2206,220001,20.3515,625.74,1300820,2128021,283920,5657.36,422.221
"September","2011",9,2011-09-01,2011-09-30,"Axis Bank Ltd.",1826,5765,190860,0,682791,8364,692255,24.0624,1805.11,11007770,42027635,2339732,93082.9,3965.6
"September","2011",9,2011-09-01,2011-09-30,"Yes Bank Ltd.",183,97,2098,0,0,0,0,0,0,162623,56453,50231,237.6,83.4
"September","2011",9,2011-09-01,2011-09-30,"RBS (ABN AMRO)",35,86,0,0,211312,1413,214924,11.2,621.668,315074,526589,146121,1984,246
"September","2011",9,2011-09-01,2011-09-30,"American Express Bkg. Corp.",0,0,16210,0,599394,0,1605812,0,11463.9,0,0,0,0,0
"September","2011",9,2011-09-01,2011-09-30,"Barclays Bank",7,33,0,0,243709,0,158124,0,303.09,32242,42621,17032,145.673,29.6692
"September","2011",9,2011-09-01,2011-09-30,"Citibank",58,643,8925,0,2289228,27545,5364383,227.59,15469,2072868,3092368,1253719,10611.4,2878.8
"September","2011",9,2011-09-01,2011-09-30,"Deutsche Bank",12,51,0,0,0,0,0,0,0,107456,186269,75414,699.9,137.2
"September","2011",9,2011-09-01,2011-09-30,"DBS Ltd.",4,34,0,0,0,0,0,0,0,1954,23895,2264,53.9,4.399
"September","2011",9,2011-09-01,2011-09-30,"HSBC",72,71,9040,5516,789268,2942,1050786,20.0364,2827.11,532887,418261,249573,1859.62,573.928
"September","2011",9,2011-09-01,2011-09-30,"Oman International Bank SAO",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"September","2011",9,2011-09-01,2011-09-30,"Standard Chartered Bank",95,220,17,0,1078538,2271,1775181,10.5,5402.9,724873,1388539,473932,4625.05,756.133
"August","2011",8,2011-08-01,2011-08-31,"Allahabad Bank",206,110,0,0,0,0,0,0,0,1119024,529681,62824,1096.5,112.6
"August","2011",8,2011-08-01,2011-08-31,"Andhra Bank",479,546,2216,0,121514,6198,97876,25.7,258.8,6445664,6935164,329190,17721.4,496.7
"August","2011",8,2011-08-01,2011-08-31,"Bank of Baroda",1217,582,4364,0,71367,2863,80650,9,205.7,6870992,6421457,449568,23596.6,700.3
"August","2011",8,2011-08-01,2011-08-31,"Bank of India",776,714,1898,502,118736,7286,88507,49.6,235.7,7678855,1943416,455847,6672.3,627.7
"August","2011",8,2011-08-01,2011-08-31,"Bank of Maharashtra",359,141,77,404,18829,0,11646,0,25.8,2137186,2119837,155903,6451.4,230.9
"August","2011",8,2011-08-01,2011-08-31,"Canara Bank",1541,1057,1045,0,61463,8421,65044,36.2,152.7,6411638,6393283,529364,22485.4,1055.1
"August","2011",8,2011-08-01,2011-08-31,"Central Bank of India",516,647,0,0,41878,92,40480,0.4,15.1,3096201,5985777,111541,14874.6,267.74
"August","2011",8,2011-08-01,2011-08-31,"Corporation Bank",709,548,16444,0,54905,1328,76010,6.2,177.9,4381916,4032478,301355,12992.6,509.4
"August","2011",8,2011-08-01,2011-08-31,"Dena Bank",411,105,0,0,0,0,0,0,0,1366437,1650972,72105,5264.2,109.9
